Brand,Company,Rows
Alameed,شركة تيسير التجارية شركة شخص واحد,8
Alameed,مؤسسة خبراء التوزيع التجارية,8
Alicafe,شركة أبار واولاده الغذائية المحدودة,18
Alicafe,شركة العوجان للمرطبات,6
Alqassim,شركة مجموعة جياد القصيم المتحدة للتجارة,6
Alqassim,شركة النعمان إخوان العالمية للتجارة المحدودة,1
Crystal,شركة أبار واولاده الغذائية المحدودة,6
Crystal,شركة ميزان للاغذية,5
Dallat,شركة دلة الجزيرة للقهوة,4
Dallat,مؤسسة خبراء التوزيع التجارية,1
Haley,الشركة السعودية النيوزلندية لمنتجات الالبان المحدودة,12
Haley,شركة عمان للمنتجات الزراعية,6
Haley,مصنع الفارس للاغذية المحدودة,6
Haley,شركة الانماء العربية للتجارة,6
Haley,شركة مصدر الحياة للصناعات الغذائية,5
Haley,شركة صلصات ماما للصناعات الغذائية,4
Haley,Al Darajah Coffee Est,3
Haley,Golden Bird Food Industries,2
Haley,شركة نابكو للتجارة والتوزيع,1
Haley,مصنع الشركة العالمية للمواد الاستهلاكية المحدودة,1
Haley,Dana Europe OU,1
Harari,شركة الخير للتجارة المحدودة,2
Harari,شركة النعمان إخوان العالمية للتجارة المحدودة,1
Kitekat,شركة مارس السعودية العربية للتجارة المحدودة - شركة شخص واحد,6
Kitekat,شركة نستله العربية السعودية,1
Kitkat,شركة نستله العربية السعودية,63
Kitkat,شركة سيف فود للتجارة,1
Libbys,شركة نستله العربية السعودية,6
Libbys,شركة باسمح للتوزيع التجاري,3
Merci,Basamh Trading Company Ltd,9
Merci,شركة باسمح التجارية المحدودة ذات شخص واحد,3
Nestle,شركة نستله العربية السعودية,170
Nestle,شركة سيف فود للتجارة,1
Red Rooster,شركة بساتين المأكولات العربية السعودية,5
Red Rooster,شركة سعيد محمد عبيد بن زقر وشركاه المحدودة,5
Starbucks,شركة نستله العربية السعودية,28
Starbucks,شركة آرلا للأغذية المحدودة,25
Tiffany,شركة سعيد محمد عبيد بن زقر وشركاه المحدودة,8
Tiffany,شركة الغذاء النقي المحدودة,4
Toffifee,Basamh Trading Company Ltd,3
Toffifee,شركة باسمح التجارية المحدودة ذات شخص واحد,1
Unbranded,Riyadh Food Industries Co.(Spices),8
Unbranded,شركة مونديليز العربية للتجارة,3
Unbranded,شركة مها أحمد الجفالي لتسويق المواد الغذائية,2
Unbranded,شركة ابراهيم الشنيفي للتجارة و المقاولات,1
Zod,شركة الرياض للصناعات الغذائية,18
Zod,Riyadh Food Industries Co.(Spices),2
