Main CAT,Sub CAT,Class,Sub Class,Company,Brand,SKU Description,Year,Total Sellout,Data_Quality_Flag
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals,شركة تان الخليجية التجارية,Hero,HERO BABY MIXED FRUITS 125G,2025,295.1199999999999,whitespace_cleaned:Company|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals,شركة تان الخليجية التجارية,Hero,HERO BABY MIXED FRUITS 125G,2025,851.5640000000001,whitespace_cleaned:Company|sku_trailing_period_removed|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals,شركة تان الخليجية التجارية,Hero,HERO BABY PEACH BANANA 125G,2025,323.69000000000005,whitespace_cleaned:Company|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals,شركة تان الخليجية التجارية,Hero,HERO BABY PEACH BANANA 125G,2025,1247.0400000000004,whitespace_cleaned:Company|sku_trailing_period_removed|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals,شركة نستله العربية السعودية,Cerelac,CERELAC WHEAT REGULAR 1000G,2025,34569.64000000004,whitespace_cleaned:Company|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals,شركة نستله العربية السعودية,Cerelac,CERELAC WHEAT REGULAR 1000G,2025,300332.8980000002,whitespace_cleaned:Company|sku_trailing_period_removed|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals,شركة نستله العربية السعودية,Cerelac,CERELAC WHEAT&FRUT 1K,2025,13966.960000000015,whitespace_cleaned:Company|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals,شركة نستله العربية السعودية,Cerelac,CERELAC WHEAT&FRUT 1K,2025,154609.34699999992,whitespace_cleaned:Company|sku_trailing_period_removed|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 3 1 Year Plus Milk,شركة مكتب الكمال للاستيراد المحدودة,Pediasure,PEDIASURE COMPLT.M.VANLA3+900G,2026,10398.339130000002,company_filled_from_brand|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 3 1 Year Plus Milk,شركة مكتب الكمال للاستيراد المحدودة,Pediasure,PEDIASURE VANILLA 1+ NEW 900G,2026,4426.452144999999,company_filled_from_brand|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 2 Follow On Milk,شركة مكتب الكمال للاستيراد المحدودة,Similac,SIMILAC ADVANCE #2 2x800G S.O,2026,6293.608668,company_filled_from_brand|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 1 Infant Milk,شركة مكتب الكمال للاستيراد المحدودة,Similac,SIMILAC GOLD #1 800G,2026,11611.217346,company_filled_from_brand|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 2 Follow On Milk,شركة مكتب الكمال للاستيراد المحدودة,Similac,SIMILAC GOLD #2 400G,2026,38.252173,company_filled_from_brand
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 2 Follow On Milk,شركة مكتب الكمال للاستيراد المحدودة,Similac,SIMILAC GOLD #2 800G,2026,22978.07820300002,company_filled_from_brand|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 3 1 Year Plus Milk,شركة مكتب الكمال للاستيراد المحدودة,Similac,SIMILAC GOLD MILK #3 800G,2026,5196.89564,company_filled_from_brand|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 3 1 Year Plus Milk,شركة خدمات اطلس الدولية,Blemil,BLEMIL MLK OPTIMUM PRO.#3 800G,2025,29161.120000000006,whitespace_cleaned:Company|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 3 1 Year Plus Milk,شركة خدمات اطلس الدولية,Blemil,BLEMIL MLK OPTIMUM PRO.#3 800G,2025,1059272.128,whitespace_cleaned:Company|sku_trailing_period_removed|duplicate_key_same_year_review
Baby Food & Beverages,Baby Foods,Baby Food Formula,Stage 1 Infant Milk,شركة خدمات اطلس الدولية,Blemil,BLEMIL PLUS MILK EXT.#3 2x600G,2026,27472.973853,whitespace_cleaned:Company|duplicate_key_same_year_review
