Main CAT,Sub CAT,Class,Sub Class,Company,Brand,SKU Description,Year,Total Sellout
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY 3FRUITS 125G,2025,5756.032999999994
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY 3FRUITS 125G,2026,6265.773662999998
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY APPLE COMPOTE 125G,2025,3312.034999999997
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY APPLE COMPOTE 125G,2026,5665.556279999996
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY BANANA 125G,2025,3579.4169999999976
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY BANANA 125G,2026,5276.651941999997
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY MIXED FRUITS 125G,2025,295.1199999999999
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY MIXED FRUITS 125G.,2025,851.5640000000001
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY MIXED FRUITS 125G.,2026,496.93909600000006
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY MIXED VEGETABLE.125G,2025,5345.931999999996
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY MIXED VEGETABLE.125G,2026,2104.156414
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY PEACH BANANA 125G,2025,323.69000000000005
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY PEACH BANANA 125G.,2025,1247.0400000000004
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Meals, شركة تان الخليجية التجارية,Hero,HERO BABY PEACH BANANA 125G.,2026,1302.2520960000002
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS BABY FRUITS 350G,2025,43466.19999999999
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS BABY FRUITS 350G,2026,32782.45987100002
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS BABY RICE 350G,2025,15191.833999999995
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS BABY RICE 350G,2026,21338.129813000014
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS CORROTS&RICR 250G,2025,20362.683
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS CORROTS&RICR 250G,2026,20581.182009000007
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS WHOLE MULTGRA 250G,2025,24834.142000000007
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة خدمات اطلس  الدولية,Blevit,BLEVIT PLUS WHOLE MULTGRA 250G,2026,15866.616941999999
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 APPLE 90G,2025,47506.539000000055
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 APPLE 90G,2026,21596.790717999967
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 BRO PAR APL&PEAR 90G,2025,38307.055000000015
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 BRO PAR APL&PEAR 90G,2026,22268.434162999965
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 FRUIT 90G,2025,49312.49100000007
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 FRUIT 90G,2026,33609.294719
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 RASP PER BNN&OAT 90G,2025,38184.68600000006
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC 6 RASP PER BNN&OAT 90G,2026,14815.62561999998
Baby Food & Beverages,Baby Foods,Baby Cereal & Porridge,Baby Cereals, شركة نستله العربية السعودية,Cerelac,CERELAC BANAN&APPLE P.ORNG 90G,2025,20044.361999999986
